id	title	status	folders	files	bytes	note
133VMph_ujXc_q4KyQjf7AB9OflnxSu2u	20001 SW 110 CT Unit 143 (TRK-2026-1262)	DONE	13	227	68067639	depth1 8 subfolders (incl _Superseded); TAX-JACKET/ENHANCED has unrecursed _partmaps subfolder at depth3 (limit); 01-INTAKE/_FOLDED-FROM-ONEDRIVE has unrecursed job-copy subfolder at depth3 (limit); VERSION-LOG present at depth1
1YGQs35u8X3iOdE6m7xITO_jg_w09LYxS	TRK-2026-1294 - Edison Towers II - 661 NW 58 St Miami 33127 (TEDC)	DONE	13	185	21186776	no _VERSION-LOG.md at depth1; active deal folder unlike sibling TEDC shells - 05-REPORTS-DELIVERABLES/_SUBMITTALS holds 126 CDM/RFA working CSVs plus 3 depth3 subfolders (Bayside-Gardens, Bayside-Breeze, Edison-Towers-II) not recursed further per depth cap; 01-INTAKE has RFA/CUR PDFs; 04-CORRESPONDENCE, 03-INVOICES-PAYMENTS, 02-PERMITS, 03-Status, 02-Files, _Superseded all empty
12rmgFxUHtAhYJCWdP2RioUu5djjF7zcS	TRK-2026-1268 - 1500 Ocean Drive (Miami Beach) - Roof Permit DD	DONE	11	52	384474	dual duplicate folder-naming scheme at depth1 (01-INTAKE..05-REPORTS-DELIVERABLES AND 01-Emails..05-Deliverables coexist); 9 of 11 depth1 subfolders empty; heavy daily .bak- pairs of _PORTAL/_STAGE since 2026-08-30; no _VERSION-LOG.md at depth1 (has CAPSULE.md instead)
1b-TSeCFXfbNYskzZu1pwcEXxpd2S7MC-	TRK-2026-1293 - MZ Solutions LLC - Company Credentials 2026 (MZ SOLUTIONS)	DONE	9	52	1201794	no _VERSION-LOG.md at depth1; dual sibling structures like other TEDC/company-credential shells; 02-Files holds real MZ Solutions license/COI/LBTR PDFs, 01-Emails has intake pointers, other 7 depth1 folders empty; 20 daily .bak- pairs
1VqsMKVDz1K_CAOfarKg4WU76vciJl_lq	TRK-2026-1535 _ 30-5032-086-0020 _ 18020 SW 103 AVE	DONE	34	78	3771012	real job with 07-Microfilm-Records (11 PERMIT-* subfolders, contents beyond depth3 not scanned) and 08-Jacket-Order-for-Alec-Valdes; 03-Research has a DD-Run subfolder with 10 raw pull files; no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
17Bg1qkk7IaF75Qa6ZkBK2EC-ukdErDYI	_ALEC-VALDES-DD	DONE	12	182	8153345	no _VERSION-LOG.md at depth1; two duplicate _dd-skills site-scraper skill sets (23 files each) - one live under 05-REPORTS-DELIVERABLES, one _Superseded backup; two _ORDERS_TAX-JACKETS dated folders (08-16, 08-18) each with own _PROOF-ONLINE-FORM screenshot subfolder and a JACKET-ORDER-LOG citing different TRK numbers (9047 vs 9250) inside the same job folder; heavy daily .bak- snapshot accumulation on portal HTML files back to 2026-08-16
1k82RhLdntKxlW-Uw8XRjLe-vpGSE-_Qt	TRK-2026-1256 - Groves at Sunset (Karla)	DONE	11	211	19127146	dual triple naming scheme at depth1 (01-INTAKE..05-REPORTS-DELIVERABLES AND 00-Intake..03-Research-and-Proposal, plus standalone County-Pull_2026-07-27); 6 of 11 depth1 subfolders empty; 00-Intake and 01-Emails contain _CONFIDENTIAL-*EYES-ONLY*.txt files (sensitive-labeled content sitting in plain job folders); no _VERSION-LOG.md at depth1 (has _CAPSULE-INDEX_TRK-2026-1256.md/_READ-FIRST.md instead); heavy daily .bak- pairs since 2026-08-30
1p4BsdnoZwF5VmZojeaVLvUfL8-5dYpIm	1514 NW 73 St - House Project	DONE	7	152	25117156	NO TRK number in folder title (unlike siblings) - portal file is literally named _PORTAL_UNASSIGNED; no _VERSION-LOG.md at depth1; many duplicate-named numbered PDFs (1 (1).pdf .. 1 (10).pdf) appear twice - once loose at root and once inside 1514-NW-73-St-Bldg-Plans subfolder with different file ids (same sizes) - true duplicates; heavy use of paired .TAGS.txt/.SEARCH.txt sidecar files per CLAUDE.md section 9.3 convention; _Superseded, 05-REPORTS-DELIVERABLES, 04-CORRESPONDENCE, 03-INVOICES-PAYMENTS, 02-PERMITS, 01-INTAKE all empty
15L0c4Kixj7UccXoXdvaZE3M4kRc5NrdF	TRK-2026-1536 _ 30-5032-000-1352 _ 10362 SW 180 ST	DONE	34	127	134631763	real job, largest of the 9: 07-TAX-JACKET (ENHANCED/ORIGINAL, ~37MB largest file, ENHANCED has a _partmaps subfolder beyond depth3 not scanned), 07-Microfilm-Records (9 PERMIT-* subfolders beyond depth3 not scanned), 08-Jacket-Order-for-Alec-Valdes, 03-Research DD-Run with 22 raw pull files; no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
1xmfIdWMwf70DDwFR1Pj7TsXqIN7F-p9q	_ORPHANS	DONE	13	49	9882264	orphan-numbering system root, not a job folder; only 4 ORPH numbers issued (0001-0004); _MISFILED-FROM-PLAZA holds 4 units worth of field-inspection PDFs misfiled from a Plaza property; 04-CORRESPONDENCE holds 4 SEND-ME_ draft emails; no _VERSION-LOG.md at depth1; no daily .bak- churn here (unlike the job folders)
1D32Vs9joWehiGe0PutoecSckS-CyS171	TRK-2026-1265 - Bal Harbour Permit Status (MZ Solutions)	DONE	18	124	29255197	no _VERSION-LOG.md at depth1; two parallel structures coexist - new numbered 00-05 TRK convention AND legacy 01-Emails/02-Files/03-Status/Units folders (migration incomplete); 03-Doron-Evidence_2026-08-18 holds a PROVEN/CONTRACTS/UNPROVEN payment-dispute evidence set with large check-photo scans (up to 4MB); three overlapping portal/index files (_PORTAL_TRK-2026-1265.html, _PORTAL_TRK-2026-1265_EMBEDDED.html 1MB, _JOB-TREE_TRK-2026-1265.html)
1_ns65eLr8UwnboHsY92NmUTqsuBQ8YXI	TUS-26-1018 _ FOLIO-TBD _ 8621 Pasadena Blvd Pembroke Pines	DONE	23	171	85414681	dual naming scheme at depth1 (01-INTAKE..05-REPORTS-DELIVERABLES AND 01_Emails..10_Closeout-CU-CO 10-step numbered scheme); 12 of 16 depth1 subfolders empty; 02_Files-Attachments nests 5 depth2 subfolders (Working-Papers, Permits, GC-Registration-MZSolutions, OCR, Findings) each with real content, plus unrecursed depth4 folders (SUBMITTAL-DRAFT_2026-06-10, FL-Approval-PDFs) past the depth cap; many .NEEDS_OCR placeholder files; no _VERSION-LOG.md at depth1 (has _READ-FIRST.md/CAPSULE.md); heavy daily .bak- pairs since 2026-08-30
1jBSW0cK7CRT9PnpzYzmy1rGqHGHggO08	TRK-2026-1297 - Tuscany Cove folio 01-3114-072-0010 - City of Miami Code Case 00009753 (TEDC)	DONE	9	48	333433	sparsest real job: two overlapping skeletons (00-05 numbered set, all empty, plus an older 01-Emails/02-Files/03-Status set); only 01-Emails has content (2 files); no _VERSION-LOG.md at depth1; daily .bak pairs since 2026-08-30
1DvF-uRQO6EHrkVzipvZaoakVXgFMG-Ft	TRK-2026-1292 - 7823 NW 5th Ave - Alec Valdes - Avis Builders	DONE	18	121	81764922	POSSIBLE MISFILE: 00-Intake and 08-Jacket-Order subfolders contain documents stamped TRK-2026-1531 (a different job) filed inside the TRK-2026-1292 folder tree - same digit-transposition risk flagged in CLAUDE.md RI on 14598 SW 110 ST; two folder-naming conventions coexist at depth1 (numbered 01-05 REPORTS/CORRESPONDENCE/INTAKE set vs 00-Intake/01-Microfilm/02-Permits/03-Clerk-Liens/04-Property-Appraiser DD set) per RI-012; no _VERSION-LOG.md at depth1; _partmaps subfolder at depth3 under 05-REPORTS-DELIVERABLES/07-TAX-JACKET/ENHANCED not recursed further (depth cap)
191XQNAEPl7Tu0_K5AyLXCeO_wVsf4gUQ	_CONVERGE-STAGING	DONE	21	53	5477344	no _VERSION-LOG.md at depth1; 6 empty depth1 folders (BayHarbor, Pembroke-1018, TUS-25-1023, Medley, _NOC-unsorted, plus empty 01-05 numbered skeleton); content duplicates other scanned job folders - BalHarbour/xlsx matches folder TRK-2026-1265 03-Status file; AlecValdes and TRK-2026-1262 subfolders duplicate material also tracked elsewhere - looks like an unresolved staging/dedupe area
1O3pf_cqyUV34yuU3j5enBbKtXn-_PAt5	TUS-25-1023 _ 30-5910-018-0210 _ 14598 SW 110 St Miami	DONE	25	198	113326374	dual naming scheme at depth1 (01-INTAKE..05-REPORTS-DELIVERABLES AND 01_Emails..10_Closeout-CU-CO); this is the address CLAUDE.md flags as a one-digit-match misfile risk (RI-012-adjacent); 02_Files-Attachments has 4 empty depth2 subfolders (Permits/OCR/Findings/Attachments-From-Emails); 07-TAX-JACKET/ENHANCED has unrecursed _partmaps subfolder at depth cap; no _VERSION-LOG.md at depth1 (has _READ-FIRST.md); heavy daily .bak- pairs since 2026-08-30
1GSLddBxDBhErl4M1Ki75MHdQxALKxbTH	TRK-2026-1289 - City of Miami folio 01-4102-098-0001 - Alec Valdes	DONE	12	53	455702	two folder-naming conventions coexist at depth1 (01-05 REPORTS/CORRESPONDENCE/INTAKE set vs 00-Intake/01-Microfilm/02-Permits/03-Clerk-Liens/04-Property-Appraiser DD set) per RI-012, same as sibling TRK-2026-1292; TRK number consistent throughout (no cross-job misfile here); only 03-Research populated (5 files), all other 11 depth1 folders empty; no _VERSION-LOG.md at depth1
1C7IbxE_K81HqLmqdXwD0-cvF6N9bOdY-	TRK-TBD _ FOLIO-TBD _ 15601 SW 137 AVE	DONE	11	68	190310299	no _VERSION-LOG.md at depth1; job carries TRK-TBD/FOLIO-TBD in its folder name (charter flags TRK-TBD as a defect requiring a real number or OPH); 07-TAX-JACKET_2026-08-24/ENHANCED holds duplicate ENHANCED vs FINAL vs bak- copies of the same 15-33MB tax-jacket PDFs (largest single file 33MB); ORIGINAL subfolder duplicates the same part01/part02 PDFs again unenhanced
1EhfxswLXwe_wBb6lZWSZWQcfaharetIs	TRK-2026-1286 - 1997 SW 218 St - Alec Valdes - Avis Builders	DONE	13	72	1280190	NAME MISMATCH: job folder titled 1997 SW 218 St but internal 08-Jacket-Order subfolder and its files are stamped 11997-SW-218-ST (extra leading 1) - address digit inconsistency worth checking; two folder-naming conventions coexist at depth1 (01-05 REPORTS set vs 00-Intake/01-Microfilm/02-Permits DD set) per RI-012; no _VERSION-LOG.md at depth1; only 05-REPORTS-DELIVERABLES, 08-Jacket-Order, and 03-Research/DD-Run populated, rest empty
1fFSGhtjpXu38CoKXEsmTLW_2ZJ2Q_yn9	14953 SW 34 ST (TRK-2026-1280)	DONE	10	47	320501	no _VERSION-LOG.md at depth1; all 10 depth1 subfolders empty (folder is entirely staging skeleton with only daily .bak- pairs plus CAPSULE.md); folder-naming convention differs yet again from siblings (05-REPORTS-DELIVERABLES/03-INVOICES-PAYMENTS/02-PERMITS/01-INTAKE caps set plus 04-Correspondence/03-Property-Appraiser/02-Clerk-Liens-and-Offsets/01-County-Permits mixed-case DD set) - third distinct depth1 naming pattern seen across the 9 folders scanned, reinforcing RI-012
1m2zOt4hRY1H6ncRZDtqdotdQQYxvj3DM	TUS-26-1033 _ 22-3011-052-0020 _ 7265 NW 74 St Bay 2 Medley	DONE	19	210	26596745	dual naming scheme at depth1 plus a standalone 02_County-Records and OUT-FOR-SIGNATURE_2026-08-10 folder; 02_County-Records/DERM_2026-08-31 has real DERM permit records for NDS-TIRES tenant; several depth1 subfolders empty (01-INTAKE/02-PERMITS/03-INVOICES-PAYMENTS/05-REPORTS-DELIVERABLES numbered-hyphen set, 07_Reports); no _VERSION-LOG.md at depth1 (has _READ-FIRST.md); Medley Priority-Zero job under FREEZE-AND-FINISH directive per CLAUDE.md; heavy daily .bak- pairs since 2026-08-30
17P7SwyVURWYCh9w4spWp7hu3mAyOvB6n	TRK-TBD _ 30-4915-001-1121 _ 13920 SW 34 ST (Medina-Rodriguez)	DONE	11	81	34642066	no _VERSION-LOG.md at depth1; job carries TRK-TBD in its folder name (charter flags TRK-TBD as a defect); same ENHANCED/ORIGINAL/FINAL/bak- duplication pattern as the 15601 SW 137 AVE job (parallel tax-jacket pipeline output); ENHANCED subfolder also has an unrelated-looking ALBUM_ file mixed in alongside the ENHANCED/FINAL parts
1b1fdKsVmgQ3x-TKmN9hPJTsRLFuMYPxD	KAR-26-GROVES _ FOLIO-TBD _ 8850 SW 72 St Groves at Sunset Pool	DONE	21	79	1179595	sibling/duplicate of TRK-2026-1256 Groves-at-Sunset content (shared 03_Research-and-Proposal and 02_Files-Attachments items appear in both folders); dual naming scheme at depth1; most depth1 subfolders empty (01-INTAKE through 09_Financial numbered/hyphen sets); no _VERSION-LOG.md at depth1 (has _READ-FIRST.md); heavy daily .bak- pairs since 2026-08-30
1EEs5OtizdbpziGzazmORBpwwKpGZMQTe	OPH-2026-0007 _ Bal Harbour + Plaza _ HOA-questioned units	DONE	58	264	6307663	9 Plaza-unit subfolders share an identical template (01-Related-Docs>04-CU-Analysis/03-Invoices-and-Checks/02-Emails/01-Permit-Records, all empty leaf folders at depth3); Plaza-602 is a stub unit (no CAPSULE-REPORT/SCOPE-OF-WORK, thin 01-Related-Docs); heavy daily .bak- snapshot accumulation at root since 2026-08-30; no _VERSION-LOG.md at depth1; ~1 minor depth1 file possibly undercounted in a 109-item paginated listing
16wlZeryV5unuNXxxYuHKf6oPhC8QoVKF	TRK-26-1042 _ FOLIO-TBD _ 15222 SW 108 Pl Miami 33157 (Daymara Yhanes)	DONE	21	96	44364627	dual naming scheme at depth1 (01-INTAKE..05-REPORTS-DELIVERABLES AND 00-Intake..06-Photos); most depth1 subfolders empty except 04-Money (Checks/Invoices, both empty) and 02-Permit-Apps (Signed/Submittal, both empty); 00-Intake holds the real due-diligence markdown deliverables; 07-TAX-JACKET/ENHANCED has unrecursed _partmaps subfolder at depth cap; no _VERSION-LOG.md at depth1; heavy daily .bak- pairs since 2026-08-30
15KM95sd22UzsRroDNwshRryfr2PqoH-t	TRK-2026-0708-JULIA - Julia's Place Bond Release (Piwko)	DONE	7	50	564425	6 of 7 depth1 subfolders empty (_Superseded, 05-REPORTS-DELIVERABLES, 04-CORRESPONDENCE, 03-INVOICES-PAYMENTS, 02-PERMITS, 01-INTAKE); only 02-Deliverables has content (single W9 PDF + sidecars, flat); heavy daily .bak- pairs at root since 2026-08-30; no _VERSION-LOG.md at depth1
19QO2Q8EEmO0HDGnQrcy1KlVUdAU7DhFY	SHADOW ROOT "01-JOBS - ONE SOURCE OF TRUTH"	DONE	9	6	9650	SHADOW ROOT, scanned to depth 2 only per instructions; marked _DO-NOT-USE_SUPERSEDED-SHADOW-ROOT.md at depth1; contains 5 duplicate/orphan job skeleton folders (TRK-2026-1265 Bal Harbour, TRK-TBD 535 NW 7 ST Homestead, TRK-2026-1536 10362 SW 180 ST, TRK-2026-1292 7823 NW 5th Ave, OPH-2026-0007 Bal Harbour+Plaza) each holding only a _STAGE.md plus one empty numbered subfolder - these look like abandoned/parallel scaffolding, not populated job files
1PF4ivT-kbDxroOJTpog0G7krsL7KAizs	TRK-2026-1611 - Pembroke Pines Contractor Registration (MZ Solutions)	DONE	10	59	1574014	5 of 10 depth1 subfolders empty (_Superseded, 05-REPORTS-DELIVERABLES, 04-CORRESPONDENCE, 03-INVOICES-PAYMENTS, 02-PERMITS, 01-INTAKE); dual naming scheme at depth1 (00-numbered vs 01-Related-Docs/02-Correspondence/etc); heavy daily .bak- pairs since 2026-08-30; no _VERSION-LOG.md at depth1; registration outcome captured in REGISTRATION-RESULT.md (approved, ID-000049083)
1qmv-tQKq0qwWRJ98nGJtL9KcBWKE8CAz	TRK-2026-1612 _ 01-4002-003-1200 _ 331 Tamiami Canal Rd Miami (ALEC VALDES)	DONE	17	162	91699518	_VERSION-LOG.md absent at depth1 but present at depth2 under 07-TAX-JACKET_2026-08-24; same ENHANCED/ORIGINAL/FINAL/bak- tax-jacket duplication pattern as other TaxJacket jobs; 01-INTAKE and 05-REPORTS-DELIVERABLES each carry parallel 06-IMAGES + _RAW folders holding the same 0140020031200 (folio) screenshot set twice; large _22-SOURCE-RUN and ADDENDUM-A HTML files (~900KB-934KB) duplicated as bak- copies; _PORTAL_TRK-2026-1612_EMBEDDED.html is 25.7MB, the largest single file in the job
1wx5nPZmo2W1Za-93y2t4pmSxgX5xOFEI	TRK-2026-1588 _ 402125130005 _ 4225 Rose Arbor Cir Port Charlotte	DONE	8	69	2041658	03-INVOICES-PAYMENTS and 02-PERMITS empty; dual naming scheme at depth1 (00-numbered vs 01-INTAKE/03-Research/_AUTO-FILED); heavy daily .bak- pairs since 2026-08-30, sizes climbing steadily; no _VERSION-LOG.md at depth1; has a standalone _TRK.txt stamp file (uncommon pattern vs other jobs)
1UhGKht4kyDRZh4wJ4AfotDMurigX-qvS	TRK-TBD _ FOLIO-TBD _ 13328 SW 113 CT (Nick)	DONE	21	71	21368209	no _VERSION-LOG.md at depth1; job carries TRK-TBD in its folder name (charter flags TRK-TBD as a defect); same ENHANCED/ORIGINAL/FINAL/bak- duplication pattern as other tax-jacket-pipeline jobs (1840 NW 63 ST); 8 of 14 depth1 subfolders empty; heavy daily .bak- pairs since 2026-08-30
1u5VINVcGaGlU4hy3E0VqvgEsSaS1Em04	TRK-TBD _ FOLIO-TBD _ 535 NW 7 ST Homestead (Renzo Cahuana)	DONE	20	84	36518467	no _VERSION-LOG.md at depth1; job carries TRK-TBD (charter flags as defect); same ENHANCED/ORIGINAL/ALBUM tax-jacket-pipeline duplication pattern seen in other jobs; 03-Research holds code-enforcement violation/order/MDC docs; heavy daily .bak- pairs since 2026-08-30
